bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
647	NM_001135109	chr11	-	8127596	8190590	8132244	8190536	2	8127596,8190412,	8132684,8190590,	0	RIC3	cmpl	cmpl	1,0,
1184	NM_025234	chr15	-	78575577	78591940	78575773	78588028	11	78575577,78577602,78578382,78580630,78581960,78582292,78584957,78585508,78587287,78588016,78591903,	78575863,78577681,78578475,78580724,78582054,78582441,78585130,78585614,78587315,78588067,78591940,	0	WDR61	cmpl	cmpl	0,2,2,1,0,1,2,1,0,0,-1,
1414	NM_001142344	chr12	-	108681820	108733094	108685617	108687368	3	108681820,108687365,108732803,	108686736,108687441,108733094,	0	CMKLR1	cmpl	cmpl	0,0,-1,
1414	NM_001142343	chr12	-	108681820	108733094	108685617	108687368	4	108681820,108687365,108723771,108732803,	108686736,108687441,108723984,108733094,	0	CMKLR1	cmpl	cmpl	0,0,-1,-1,
1471	NM_001172896	chr7	+	116166346	116201239	116166641	116199341	2	116166346,116198999,	116166743,116201239,	0	CAV1	cmpl	cmpl	0,0,
661	NM_005680	chr2	+	9983570	10074545	9983670	10074113	15	9983570,9985348,9989501,9991669,9994454,10008404,10015993,10022834,10044987,10050864,10051639,10053287,10059169,10059726,10073911,	9983688,9985447,9989589,9991767,9994550,10008558,10016147,10022934,10045135,10051042,10051686,10053378,10059240,10059949,10074545,	0	TAF1B	cmpl	cmpl	0,0,0,1,0,0,1,2,0,1,2,1,2,1,2,
971	NR_024228	chr19	-	50595745	50595866	50595866	50595866	1	50595745,	50595866,	0	SNAR-A8	unk	unk	-1,
971	NR_024228	chr19	-	50601082	50601203	50601203	50601203	1	50601082,	50601203,	0	SNAR-A8	unk	unk	-1,
971	NR_024228	chr19	-	50604147	50604268	50604268	50604268	1	50604147,	50604268,	0	SNAR-A8	unk	unk	-1,
971	NR_024228	chr19	-	50607211	50607332	50607332	50607332	1	50607211,	50607332,	0	SNAR-A8	unk	unk	-1,
971	NR_024228	chr19	-	50610270	50610391	50610391	50610391	1	50610270,	50610391,	0	SNAR-A8	unk	unk	-1,
971	NR_024228	chr19	-	50615624	50615745	50615745	50615745	1	50615624,	50615745,	0	SNAR-A8	unk	unk	-1,
971	NR_024228	chr19	-	50620976	50621097	50621097	50621097	1	50620976,	50621097,	0	SNAR-A8	unk	unk	-1,
1583	NM_198938	chr9	-	130882971	130890741	130883423	130886093	8	130882971,130884640,130885212,130885980,130886770,130887057,130887522,130890526,	130883552,130884758,130885413,130886130,130886829,130887150,130887720,130890741,	0	PTGES2	cmpl	cmpl	0,2,2,0,-1,-1,-1,-1,
1154	NM_000859	chr5	+	74632992	74657926	74638430	74656167	20	74632992,74638407,74639677,74640069,74641398,74643028,74645866,74646082,74646613,74646892,74647248,74650327,74650880,74651189,74652167,74654481,74654994,74655222,74655809,74656112,	74633125,74638595,74639789,74640157,74641483,74643134,74645973,74646199,74646774,74647140,74647427,74650522,74651039,74651347,74652273,74654652,74655135,74655381,74655964,74657926,	0	HMGCR	cmpl	cmpl	-1,0,0,1,2,0,1,0,0,2,1,0,0,0,2,0,0,0,0,2,
588	NM_001286439	chr16	+	447191	450754	449108	450342	6	447191,448207,448989,449378,449626,450218,	447313,448394,449123,449480,449739,450754,	0	NME4	cmpl	cmpl	-1,-1,0,0,0,2,
859	NM_001171873	chr5	-	35960857	36001130	35962975	35988585	6	35960857,35965487,35968120,35988551,35997340,36001069,	35963053,35966019,35968235,35988653,35997431,36001130,	0	UGT3A1	cmpl	cmpl	0,2,1,0,-1,-1,
1864	NM_001146191	chr1	+	167691186	167761156	167691388	167757158	3	167691186,167734819,167757056,	167691479,167734986,167761156,	0	MPZL1	cmpl	cmpl	0,1,0,
700	NM_001175	chr12	-	15094949	15114562	15095455	15103646	6	15094949,15097709,15100806,15102735,15103465,15114470,	15095655,15097773,15100883,15102819,15103658,15114562,	0	ARHGDIB	cmpl	cmpl	1,0,1,1,0,-1,
774	NM_001143919	chr14	+	24780704	24787242	24784857	24785916	2	24780704,24784842,	24781010,24787242,	0	LTB4R	cmpl	cmpl	-1,0,
14	NM_001135197	chr3	+	49236932	49295537	49249213	49294715	8	49236932,49249198,49273980,49278658,49281836,49282078,49292822,49293566,	49237006,49249269,49274155,49278822,49281885,49282166,49292926,49295537,	0	CCDC36	cmpl	cmpl	-1,0,2,0,2,0,1,0,
33	NM_001168221	chr2	-	202352143	202483905	202352334	202483853	16	202352143,202355891,202360617,202400743,202402158,202410265,202412227,202430451,202436663,202438931,202440004,202446817,202466461,202467946,202469333,202483622,	202352625,202359482,202360692,202401043,202402202,202410344,202412333,202430595,202436743,202439000,202440049,202446940,202466607,202467998,202469420,202483905,	0	ALS2CR11	cmpl	cmpl	0,0,0,0,1,0,2,2,0,0,0,0,1,0,0,0,
2129	NM_001168217	chr2	-	202399042	202483905	202400596	202483853	13	202399042,202402158,202410265,202412227,202430451,202436663,202438931,202440004,202446817,202466461,202467946,202469333,202483622,	202401043,202402202,202410344,202412333,202430595,202436743,202439000,202440049,202446940,202466607,202467998,202469420,202483905,	0	ALS2CR11	cmpl	cmpl	0,1,0,2,2,0,0,0,0,1,0,0,0,
33	NM_001168216	chr2	-	202352143	202483905	202360666	202483853	13	202352143,202360617,202410265,202412227,202430451,202436663,202438931,202440004,202446817,202466461,202467946,202469333,202483622,	202352625,202360692,202410344,202412333,202430595,202436743,202439000,202440049,202446940,202466607,202467998,202469420,202483905,	0	ALS2CR11	cmpl	cmpl	-1,1,0,2,2,0,0,0,0,1,0,0,0,
978	NM_001145260	chr10	+	51565107	51590734	51568356	51586675	12	51565107,51568293,51579127,51580555,51580879,51581269,51582182,51582795,51584615,51586270,51586609,51589224,	51565296,51568390,51579282,51580696,51580968,51581378,51582272,51582939,51585599,51586411,51586698,51590734,	0	NCOA4	cmpl	cmpl	-1,0,1,0,0,2,0,0,0,0,0,-1,
191	NR_027282	chr10	+	124639148	124658230	124658230	124658230	6	124639148,124640190,124641113,124644232,124647784,124657308,	124639595,124640272,124641183,124644368,124648239,124658230,	0	LOC399815	unk	unk	-1,-1,-1,-1,-1,-1,
930	NM_001166292	chr1	-	45285515	45308616	45286360	45308604	23	45285515,45288273,45288740,45288914,45291921,45292159,45292573,45292838,45293073,45293514,45293967,45294177,45294653,45294828,45295073,45295285,45295580,45296519,45297377,45297646,45297823,45307518,45308532,	45286376,45288341,45288840,45289057,45292059,45292440,45292754,45292981,45293386,45293863,45294086,45294303,45294746,45294984,45295205,45295433,45295702,45296715,45297469,45297716,45298013,45307711,45308616,	0	PTCH2	cmpl	cmpl	2,0,2,0,0,1,0,1,0,2,0,0,0,0,0,2,0,2,0,2,1,0,0,
909	NM_015497	chr15	-	42502649	42565782	42503905	42565596	20	42502649,42510000,42510520,42511778,42512259,42519003,42519908,42520909,42523387,42525410,42528517,42529629,42531867,42536247,42553155,42553393,42556287,42560144,42564260,42565452,	42503947,42510031,42510576,42511840,42512333,42519107,42519967,42521016,42523458,42525504,42528617,42529813,42531929,42536365,42553200,42553447,42556401,42560230,42564321,42565782,	0	TMEM87A	cmpl	cmpl	0,2,0,1,2,0,1,2,0,2,1,0,1,0,0,0,0,1,0,0,
1406	NM_017515	chr11	-	107661716	107729914	107663340	107729493	8	107661716,107673726,107675443,107676084,107677442,107682392,107686515,107729383,	107663526,107673881,107675496,107676241,107677602,107682520,107686691,107729914,	0	SLC35F2	cmpl	cmpl	0,1,2,1,0,1,2,0,
1510	NM_001012659	chr3	+	121286777	121309469	121289560	121305447	5	121286777,121289548,121295630,121303763,121304868,	121286860,121289663,121295747,121303912,121309469,	0	ARGFX	cmpl	cmpl	-1,0,1,1,0,
1347	NM_001098200	chr13	-	99906966	99910682	99907130	99908126	2	99906966,99910407,	99908160,99910682,	0	GPR18	cmpl	cmpl	0,-1,
1420	NM_001145374	chr12	-	109525992	109531293	109526010	109530591	4	109525992,109527813,109530311,109531051,	109526317,109528012,109530742,109531293,	0	ALKBH2	cmpl	cmpl	2,1,0,-1,
754	NM_015359	chr8	+	22224761	22280249	22262223	22277211	9	22224761,22262208,22265822,22267458,22272292,22273281,22273585,22275163,22277064,	22224921,22262493,22266009,22267628,22272415,22273470,22273793,22275348,22280249,	0	SLC39A14	cmpl	cmpl	-1,0,0,1,0,0,0,1,0,
817	NR_002222	chr17	-	30477386	30478590	30478590	30478590	1	30477386,	30478590,	0	ARGFXP2	unk	unk	-1,
662	NM_031917	chr19	-	10203012	10213425	10203264	10207239	6	10203012,10204024,10204368,10205433,10206657,10213243,	10203455,10204295,10204556,10205614,10207249,10213425,	0	ANGPTL6	cmpl	cmpl	1,0,1,0,0,-1,
846	NM_032963	chr17	-	34310691	34313764	34310836	34313685	3	34310691,34311373,34313606,	34310924,34311488,34313764,	0	CCL14	cmpl	cmpl	2,1,0,
1187	NM_001256567	chr15	-	78916635	78933587	78917296	78933475	5	78916635,78923417,78923629,78927780,78933420,	78917633,78923527,78923674,78927929,78933587,	0	CHRNB4	cmpl	cmpl	2,0,0,1,0,
1264	NM_001160104	chr14	+	89029252	89079853	89029477	89078095	17	89029252,89029994,89034382,89037427,89038373,89038921,89041036,89042183,89044328,89063077,89068267,89069171,89073586,89075610,89076058,89077177,89078088,	89029513,89030037,89034497,89037468,89038569,89039351,89041197,89042284,89044484,89063152,89068427,89069389,89073707,89075747,89076147,89077284,89079853,	0	ZC3H14	cmpl	cmpl	0,0,1,2,1,2,0,2,1,1,1,2,1,2,1,0,2,
959	NM_000884	chr3	-	49061761	49066875	49061815	49066783	14	49061761,49061927,49062091,49062328,49062558,49063756,49063951,49064119,49064392,49065142,49065680,49065863,49066190,49066685,	49061837,49062011,49062235,49062473,49062702,49063852,49064042,49064319,49064480,49065349,49065755,49065965,49066239,49066875,	0	IMPDH2	cmpl	cmpl	2,2,2,1,1,1,0,1,0,0,0,0,2,0,
602	NM_013321	chr7	-	2291404	2354099	2294690	2354056	11	2291404,2296508,2296999,2297369,2302864,2303932,2309193,2311484,2314746,2317734,2353962,	2294804,2296658,2297149,2297438,2302997,2304093,2309274,2311606,2314864,2317940,2354099,	0	SNX8	cmpl	cmpl	0,0,0,0,2,0,0,1,0,1,0,
176	NM_015723	chr7	-	108110865	108166762	108112844	108155935	12	108110865,108119627,108128202,108131853,108137027,108137926,108142934,108154587,108154879,108158633,108161919,108166472,	108113119,108119823,108128397,108131911,108137199,108138021,108143086,108154737,108156018,108158745,108161965,108166762,	0	PNPLA8	cmpl	cmpl	1,0,0,2,1,2,0,0,0,-1,-1,-1,
901	NR_003365	chr13	-	41486024	41495910	41495910	41495910	3	41486024,41495609,41495754,	41486859,41495667,41495910,	0	SUGT1P3	unk	unk	-1,-1,-1,
141	NM_001190807	chr18	-	71920526	71959251	71920818	71959110	4	71920526,71922975,71930583,71958981,	71920900,71923010,71930712,71959251,	0	CYB5A	cmpl	cmpl	2,0,0,0,
915	NM_001146037	chr18	+	43306917	43332485	43307236	43329916	9	43306917,43310264,43310979,43314238,43316420,43319127,43319492,43328340,43329742,	43307383,43310436,43311169,43314367,43316613,43319275,43319627,43328390,43332485,	0	SLC14A1	cmpl	cmpl	0,0,1,2,2,0,1,1,0,
90	NM_001204145	chr7	+	18535368	18708466	18535925	18706150	11	18535368,18535884,18624903,18629967,18631138,18633530,18674249,18684293,18687407,18688088,18705835,	18535477,18535947,18625145,18630109,18631265,18633652,18674365,18684416,18687621,18688306,18708466,	0	HDAC9	cmpl	cmpl	-1,0,1,0,1,2,1,0,0,1,0,
835	NM_148919	chr6	-	32808493	32811816	32808735	32811773	6	32808493,32809307,32809910,32810448,32810718,32811626,	32808824,32809512,32810040,32810560,32810866,32811816,	0	PSMB8	cmpl	cmpl	1,0,2,1,0,0,
832	NM_017964	chr2	+	32390909	32449181	32390969	32445782	14	32390909,32396355,32399131,32400387,32409341,32417404,32417986,32418957,32422412,32422775,32429658,32431954,32434561,32445281,	32390972,32396442,32399216,32400430,32409407,32417485,32418022,32419052,32422461,32422895,32429761,32432002,32434630,32449181,	0	SLC30A6	cmpl	cmpl	0,0,0,1,2,2,2,2,1,2,2,0,0,0,
119	NM_022827	chr17	+	48624449	48633213	48624569	48633023	17	48624449,48625080,48625643,48625914,48626170,48626403,48626646,48627345,48627568,48627896,48628068,48628358,48628871,48629329,48631611,48632592,48632852,	48624646,48625128,48625814,48625979,48626325,48626547,48626848,48627476,48627673,48627971,48628278,48628551,48629040,48629541,48631811,48632673,48633213,	0	SPATA20	cmpl	cmpl	0,2,2,2,1,0,0,1,0,0,0,0,1,2,1,0,0,
980	NM_001242362	chrX	-	51804922	51812368	51805124	51811268	14	51804922,51805329,51806082,51806798,51807142,51807596,51807724,51808425,51808905,51809178,51809345,51809960,51811058,51812225,	51805134,51805760,51806197,51806846,51807205,51807639,51807804,51808517,51808985,51809242,51809549,51810794,51811320,51812368,	0	MAGED4B	cmpl	cmpl	2,0,2,2,2,1,2,0,1,0,0,0,0,-1,
981	NM_001242362	chrX	+	51927918	51935364	51929018	51935162	14	51927918,51928966,51929492,51930737,51931044,51931301,51931769,51932482,51932647,51933081,51933440,51934089,51934526,51935152,	51928061,51929228,51930326,51930941,51931108,51931381,51931861,51932562,51932690,51933144,51933488,51934204,51934957,51935364,	0	MAGED4B	cmpl	cmpl	-1,0,0,0,0,1,0,2,1,2,2,2,0,2,
1007	NM_001242357	chr19	+	55417507	55424439	55417545	55424239	5	55417507,55417656,55420603,55421377,55424057,	55417579,55417692,55420882,55421425,55424439,	0	NCR1	cmpl	cmpl	0,1,1,1,1,
1007	NM_001242356	chr19	+	55417507	55424439	55417545	55424239	6	55417507,55417656,55420603,55421377,55423535,55424057,	55417579,55417692,55420882,55421425,55423586,55424439,	0	NCR1	cmpl	cmpl	0,1,1,1,1,1,
113	NM_006345	chr4	+	41992522	42089551	41992668	42088143	18	41992522,42003632,42020127,42022432,42024854,42025318,42037291,42041002,42051393,42062207,42065002,42067326,42068566,42069101,42072542,42077673,42080228,42088098,	41992777,42003797,42020187,42022532,42024947,42025401,42037350,42041070,42051496,42062263,42065138,42067366,42068638,42069209,42072708,42077803,42080342,42089551,	0	SLC30A9	cmpl	cmpl	0,1,1,1,2,2,1,0,2,0,2,0,1,1,1,2,0,0,
93	NM_022459	chr13	-	21351467	21476913	21357860	21476877	23	21351467,21361103,21361619,21362624,21364600,21370214,21370902,21373303,21374294,21374969,21381595,21382574,21383221,21383929,21395842,21396270,21401205,21417033,21417908,21429765,21436855,21442734,21476808,	21358058,21361196,21361737,21362755,21364719,21370395,21371196,21373478,21374464,21375129,21381773,21382720,21383364,21384106,21396017,21396428,21401318,21417187,21418025,21429904,21436997,21442840,21476913,	0	XPO4	cmpl	cmpl	0,0,2,0,1,0,0,2,0,2,1,2,0,0,2,0,1,0,0,2,1,0,0,
828	NM_006929	chr6	+	31926580	31937532	31926969	31937492	28	31926580,31927073,31927786,31927996,31928208,31928442,31928817,31928972,31929323,31929685,31930215,31930490,31930761,31931189,31931413,31931689,31932008,31933559,31934485,31934780,31935049,31935491,31935732,31936104,31936462,31936647,31937056,31937291,	31926991,31927177,31927896,31928114,31928323,31928517,31928871,31929163,31929452,31929831,31930362,31930575,31930868,31931336,31931510,31931902,31932119,31933790,31934623,31934918,31935154,31935639,31935859,31936315,31936573,31936866,31937197,31937532,	0	SKIV2L	cmpl	cmpl	0,1,0,2,0,1,1,1,0,0,2,2,0,2,2,0,0,0,0,0,0,0,1,2,0,0,0,0,
143	NM_153614	chr11	+	73661363	73681332	73662114	73681159	8	73661363,73669361,73670538,73675922,73677182,73679389,73680290,73681005,	73662182,73669465,73670700,73676080,73677296,73679503,73680367,73681332,	0	DNAJB13	cmpl	cmpl	0,2,1,1,0,0,0,2,
2264	NR_046437	chr1	-	220087605	220101993	220101993	220101993	4	220087605,220091596,220100369,220101142,	220089290,220091836,220100485,220101993,	0	SLC30A10	unk	unk	-1,-1,-1,-1,
1333	NR_040097	chr2	-	98081675	98091049	98091049	98091049	4	98081675,98088031,98088547,98088769,	98082014,98088252,98088677,98091049,	0	AC159540.1	unk	unk	-1,-1,-1,-1,
780	NM_020317	chr1	-	25568739	25573985	25569079	25573454	5	25568739,25570040,25571640,25572934,25573799,	25569196,25570124,25571792,25573520,25573985,	0	C1orf63	cmpl	cmpl	0,0,1,0,-1,
1454	NM_012455	chr2	+	113931559	113960677	113940033	113958992	17	113931559,113939922,113942533,113942941,113943453,113949956,113950624,113950834,113951168,113951435,113953303,113953723,113955140,113955323,113956316,113956659,113958734,	113931631,113941089,113942650,113943017,113943832,113950166,113950705,113950947,113951227,113951525,113953347,113953884,113955211,113955490,113956461,113956803,113960677,	0	PSD4	cmpl	cmpl	-1,0,0,0,1,2,2,2,1,0,0,2,1,0,2,0,0,
1259	NM_001009894	chr12	+	88429267	88443937	88429425	88442199	7	88429267,88433924,88436601,88437375,88439358,88440583,88442010,	88429515,88434042,88436697,88437492,88439556,88440753,88443937,	0	C12orf29	cmpl	cmpl	0,0,1,1,1,1,0,
596	NR_026710	chrX	+	1519423	1532479	1532479	1532479	4	1519423,1520354,1522353,1531635,	1519479,1521118,1522478,1532479,	0	ASMTL-AS1	unk	unk	-1,-1,-1,-1,
955	NM_001272082	chr3	-	48509196	48514742	48510505	48514423	4	48509196,48510759,48511126,48514418,	48510585,48510972,48511242,48514742,	0	SHISA5	cmpl	cmpl	1,1,2,0,
1108	NM_181515	chr11	-	68658745	68671303	68658798	68664123	7	68658745,68660357,68660870,68663982,68665394,68668002,68671190,	68658863,68660461,68660923,68664146,68665480,68668073,68671303,	0	MRPL21	cmpl	cmpl	1,2,0,0,-1,-1,-1,
1108	NM_181514	chr11	-	68658745	68671303	68658798	68671278	7	68658745,68660357,68660870,68663982,68665394,68668015,68671190,	68658863,68660461,68660923,68664146,68665480,68668073,68671303,	0	MRPL21	cmpl	cmpl	1,2,0,1,2,1,0,
587	NR_073609	chr5	+	271735	277055	277055	277055	3	271735,272825,276126,	271936,272887,277055,	0	PDCD6	unk	unk	-1,-1,-1,
1073	NR_102684	chr8	-	64080283	64081001	64081001	64081001	1	64080283,	64081001,	0	YTHDF3-AS1	unk	unk	-1,
897	NR_102422	chr17	+	41003200	41010147	41010147	41010147	4	41003200,41006553,41007460,41008291,	41004960,41006750,41007590,41010147,	0	AOC3	unk	unk	-1,-1,-1,-1,
1457	NM_012411	chr1	-	114356432	114414375	114357526	114414245	19	114356432,114362198,114367763,114372213,114372570,114375732,114376930,114377531,114380211,114381165,114397092,114397528,114399003,114399169,114400359,114401099,114401623,114401973,114414158,	114357591,114362276,114367794,114372329,114372651,114375760,114377061,114377615,114381029,114381242,114397159,114397671,114399063,114399241,114400398,114401195,114401700,114402082,114414375,	0	PTPN22	cmpl	cmpl	1,1,0,1,1,0,1,1,2,0,2,0,0,0,0,0,1,0,0,
144	NM_001102421	chr9	-	74966340	74980163	74970868	74975694	6	74966340,74971846,74974333,74975025,74975543,74979611,	74971017,74971972,74974437,74975137,74975703,74980163,	0	ZFAND5	cmpl	cmpl	1,1,2,1,0,-1,
144	NM_001102420	chr9	-	74966340	74980163	74970868	74975694	7	74966340,74971846,74974333,74975025,74975543,74978385,74979611,	74971017,74971972,74974437,74975137,74975703,74978522,74980163,	0	ZFAND5	cmpl	cmpl	1,1,2,1,0,-1,-1,
865	NM_017826	chr13	-	36742344	36788752	36743170	36788663	11	36742344,36744667,36747828,36748612,36748858,36764082,36765931,36767757,36767942,36776015,36788615,	36743191,36744924,36747947,36748704,36749006,36764193,36766031,36767862,36768004,36776230,36788752,	0	SOHLH2	cmpl	cmpl	0,1,2,0,2,2,1,1,2,0,0,
1234	NM_001166295	chr1	-	85109389	85156151	85113115	85136460	13	85109389,85116044,85117565,85121514,85122030,85124000,85127880,85128137,85130099,85131804,85135363,85136328,85155836,	85113290,85116210,85117680,85121688,85122167,85124151,85128058,85128213,85130235,85131915,85135576,85136498,85156151,	0	SSX2IP	cmpl	cmpl	2,1,0,0,1,0,2,1,0,0,0,0,-1,
130	NM_194449	chr18	+	60382671	60647676	60382916	60646664	17	60382671,60497267,60506016,60527667,60562243,60563013,60570196,60572456,60582145,60587191,60608950,60612341,60625861,60630600,60639746,60642629,60645494,	60384492,60497464,60506142,60527834,60562390,60563244,60570399,60572517,60582241,60587347,60609151,60612504,60625992,60630705,60639941,60642858,60647676,	0	PHLPP1	cmpl	cmpl	0,1,0,0,2,2,2,1,2,2,2,2,0,2,2,2,0,
1680	NM_001206938	chr7	-	143548460	143599278	143554188	143573701	9	143548460,143554166,143555916,143557300,143558187,143559508,143559894,143573081,143599119,	143551235,143554443,143556254,143557540,143558401,143559606,143560889,143573715,143599278,	0	FAM115A	cmpl	cmpl	-1,0,1,1,0,1,2,0,-1,
1640	NM_014811	chr9	+	138371647	138380739	138376356	138379986	4	138371647,138374528,138375795,138376294,	138371868,138374661,138375928,138380739,	0	PPP1R26	cmpl	cmpl	-1,-1,-1,0,
816	NM_001199119	chr6	+	30297087	30314635	30297094	30314587	10	30297087,30298557,30303521,30307684,30308281,30309488,30313074,30313267,30314208,30314489,	30297547,30298653,30303752,30307707,30308397,30309673,30313175,30313350,30314334,30314635,	0	TRIM39-RPP21	cmpl	cmpl	0,0,0,0,2,1,0,2,1,1,
965	NM_000084	chrX	+	49832214	49863892	49834580	49856876	12	49832214,49834533,49837143,49840449,49845250,49846297,49850636,49850984,49853354,49854772,49855326,49856785,	49832415,49834685,49837243,49840637,49845373,49846504,49850717,49851527,49853541,49855171,49855543,49863892,	0	CLCN5	cmpl	cmpl	-1,0,0,1,0,0,0,0,0,1,1,2,
